,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
1671,NsiI.TP718149,"PF00433,PF14531","PTHR24351,PTHR24351:SF80",KOG0598,2.7.11.1,K04688,"GO:0006468,GO:0005524,GO:0004674",AT3G08720,"ATPK19,ATPK2,ATS6K2,S6K2",serine/threonine protein kinase 2,LOC_Os03g21620,NA,"AGC_AGC_other_RS6K_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
1673,NsiI.TP718149,,,,,,,,,,,NA,
1674,NsiI.TP718149,,,,,,,,,,,NA,
1675,NsiI.TP718149,,PTHR36740,,,,,AT2G38570,,,LOC_Os03g21630,NA,"PRC-barrel domain protein, putative, expressed"
1679,NsiI.TP718149,PF13326,"PTHR34041,PTHR34041:SF1",,,K08902,GO:0010207,AT1G03600,PSB27,photosystem II family protein,LOC_Os03g21560,NA,"photosystem II 11 kD protein, putative, expressed"
1680,NsiI.TP718149,PF01873,PTHR23001,KOG2768,,K03238,"GO:0006413,GO:0003743",AT5G20920,"EIF2 BETA,EMB1401",eukaryotic translation initiation factor 2 beta subunit,LOC_Os03g21550,NA,"eukaryotic translation initiation factor 2 subunit beta, putative, expressed"
1681,NsiI.TP718915,PF00324,"PTHR11785,PTHR11785:SF366",KOG1287,,,"GO:0055085,GO:0016020,GO:0006810,GO:0015171,GO:0003333",AT3G19553,,Amino acid permease family protein,LOC_Os12g39080,NA,"amino acid permease family protein, putative, expressed"
1682,NsiI.TP718915,PF12767,"PTHR21277,PTHR21277:SF9",,,,GO:0070461,AT2G14850,,,LOC_Os12g39090,NA,expressed protein
1683,NsiI.TP718915,,,,,,,,,,,NA,
1684,NsiI.TP718915,,"PTHR33167,PTHR33167:SF1",,,,,AT5G67390,,,LOC_Os12g39100,NA,expressed protein
1685,NsiI.TP718915,,,,,,,,,,,NA,
1687,NsiI.TP722362,,"PTHR33075,PTHR33075:SF4",,,,,,,,LOC_Os06g28300,NA,"zinc knuckle family protein, expressed"
1688,NsiI.TP722362,PF13639,"PTHR14155,PTHR14155:SF74",,,,"GO:0008270,GO:0005515",AT3G10910,,RING/U-box superfamily protein,LOC_Os11g02424,NA,"LTPL9 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
1689,NsiI.TP722362,,PTHR33177,,,,,,,,LOC_Os12g06130,NA,expressed protein
1690,NsiI.TP723677,PF01823,"PTHR33199,PTHR33199:SF3",,,,,AT1G29690,CAD1,MAC/Perforin domain-containing protein,LOC_Os01g54510,NA,"MAC/Perforin domain containing protein, putative, expressed"
1691,NsiI.TP727404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,NsiI.TP728861,"PF04578,PF13968","PTHR31325,PTHR31325:SF10",,,,,AT4G19090,,Protein of unknown function (DUF594),LOC_Os11g06990,NA,expressed protein
1694,NsiI.TP728861,,PTHR33304,,,,,AT1G43770,,RING/FYVE/PHD zinc finger superfamily protein,LOC_Os12g06440,NA,expressed protein
1696,NsiI.TP728861,,"PTHR33304,PTHR33304:SF2",,,,,AT1G43770,,RING/FYVE/PHD zinc finger superfamily protein,LOC_Os12g06440,NA,expressed protein
1697,NsiI.TP73031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1699,NsiI.TP73031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700,NsiI.TP73031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1701,NsiI.TP731097,"PF00069,PF11721","PTHR27006,PTHR27006:SF37",KOG1187,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672",AT1G53440,,Leucine-rich repeat transmembrane protein kinase,LOC_Os02g13850,NA,"leucine-rich repeat-containing protein kinase family protein, putative, expressed"
1707,NsiI.TP731097,,,,,K13172,,,,,LOC_Os04g51960,NA,expressed protein
1711,NsiI.TP736628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1717,NsiI.TP736628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718,NsiI.TP736628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1720,NsiI.TP736628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1721,NsiI.TP736628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1722,NsiI.TP736796,PF00011,"PTHR11527,PTHR11527:SF97",,,K13993,,AT4G21870,,HSP20-like chaperones superfamily protein,LOC_Os07g33350,NA,"hsp20/alpha crystallin family protein, putative, expressed"
1723,NsiI.TP736796,"PF06278,PF16869,PF16858","PTHR14324,PTHR14324:SF3",KOG2359,,K11490,,AT3G16730,,,LOC_Os07g33360,NA,expressed protein
1724,NsiI.TP736796,"PF00307,PF00612",PTHR11915,KOG0165,,K16743,GO:0005515,AT4G21820,,binding;calmodulin binding,LOC_Os07g33370,NA,"IQ calmodulin-binding motif family protein, expressed"
1728,NsiI.TP739117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1740,NsiI.TP739117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1742,NsiI.TP741553,PF04857,"PTHR15092,PTHR15092:SF22",KOG1990,3.1.13.4,K01148,GO:0005634,AT1G55870,"AHG2,ATPARN","Polynucleotidyl transferase, ribonuclease H-like superfamily protein",LOC_Os04g39260,NA,"CAF1 family ribonuclease containing protein, putative, expressed"
1745,NsiI.TP741553,PF00218,"PTHR22854,PTHR22854:SF10",KOG4201,4.1.1.48,K01609,GO:0004425,AT5G48220,,Aldolase-type TIM barrel family protein,LOC_Os04g39270,NA,"indole-3-glycerol phosphate synthase, chloroplast precursor, putative, expressed"
1750,NsiI.TP741553,PF02765,PTHR14513,KOG4757,,,"GO:0003677,GO:0000784,GO:0000723,GO:0043047",AT5G06310,AtPOT1b,"Nucleic acid-binding, OB-fold-like protein",LOC_Os04g39280,NA,"ATPOT1, putative, expressed"
1753,NsiI.TP741553,"PF00307,PF00225","PTHR24115,PTHR24115:SF512",KOG0239,3.6.4.5,K10406,"GO:0005515,GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871",AT3G44730,"ATKP1,KP1",kinesin-like protein 1,LOC_Os11g44880,NA,"kinesin-4, putative, expressed"
1755,NsiI.TP742900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1757,NsiI.TP742900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1758,NsiI.TP744537,"PF08263,PF13855,PF00069","PTHR27008,PTHR27008:SF9",KOG1187,2.7.11.1,,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT1G67510,,Leucine-rich repeat protein kinase family protein,LOC_Os12g13300,NA,expressed protein
1760,NsiI.TP745811,PF14432,,,,,,AT1G47580,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os03g55840,NA,"pentatricopeptide, putative, expressed"
1761,NsiI.TP745811,PF00085,"PTHR10438,PTHR10438:SF272",,,,"GO:0045454,GO:0015035,GO:0006662",AT4G37200,HCF164,Thioredoxin superfamily protein,LOC_Os03g55820,NA,"thioredoxin, putative, expressed"
1764,NsiI.TP745811,PF05562,"PTHR33596,PTHR33596:SF1",,,,,AT3G50830,"ATCOR413-PM2,COR413-PM2",cold-regulated 413-plasma membrane 2,LOC_Os03g55850,NA,"cold acclimation protein WCOR413, putative, expressed"
1765,NsiI.TP745811,"PF00651,PF03000","PTHR32370,PTHR32370:SF8",,,,GO:0005515,AT5G66560,,Phototropic-responsive NPH3 family protein,LOC_Os03g55830,NA,"BTBN10 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
1768,NsiI.TP74711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1769,NsiI.TP74711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1770,NsiI.TP74711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1771,NsiI.TP74711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1775,NsiI.TP750468,PF07714,"PTHR23257,PTHR23257:SF521",KOG0192,2.7.12.1,,"GO:0006468,GO:0004672",AT5G50180,,Protein kinase superfamily protein,LOC_Os02g38080,NA,"protein kinase domain containing protein, expressed"
1776,NsiI.TP750468,,,,,,,,,,,NA,
1777,NsiI.TP750468,,,,,,,,,,,NA,
1778,NsiI.TP750756,PF00069,"PTHR22974,PTHR22974:SF23",KOG0583,2.7.11.1,K08864,"GO:0006468,GO:0005524,GO:0004672",AT5G20930,TSL,Protein kinase superfamily protein,LOC_Os03g53880,NA,"serine/threonine-protein kinase TOUSLED, putative, expressed"
1779,NsiI.TP750756,PF11523,"PTHR33415,PTHR33415:SF4",,2.7.7.6,,,AT3G46630,,Protein of unknown function (DUF3223),LOC_Os08g21700,NA,"DCL, chloroplast precursor, putative, expressed"
1782,NsiI.TP750756,PF10237,"PTHR13200,PTHR13200:SF0",KOG3350,,,GO:0008168,AT3G58470,,nucleic acid binding;methyltransferases,LOC_Os03g53890,NA,"N2, N2-dimethylguanosine tRNA methyltransferase, putative, expressed"
1783,NsiI.TP750756,"PF01915,PF00933","PTHR30620,PTHR30620:SF38",,3.2.1.58,K01188,"GO:0005975,GO:0004553",AT5G20950,,Glycosyl hydrolase family protein,LOC_Os03g53860,NA,"periplasmic beta-glucosidase precursor, putative, expressed"
1784,NsiI.TP752426,PF13456,"PTHR33033,PTHR33033:SF23",,,,,,,,LOC_Os08g09440,NA,expressed protein
1785,NsiI.TP752426,"PF13450,PF04433","PTHR10742,PTHR10742:SF246",KOG0029,1.5.3.16,K11450,"GO:0005515,GO:0051568,GO:0016575,GO:0005634",AT1G62830,"ATLSD1,ATSWP1,LDL1,LSD1,SWP1",LSD1-like 1,LOC_Os02g51880,NA,"amine oxidase, putative, expressed"
1786,NsiI.TP752426,PF03141,"PTHR10108,PTHR10108:SF899",,,,GO:0008168,AT1G78240,"OSU1,QUA2,TSD2",S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,LOC_Os02g51860,NA,"dehydration response related protein, putative, expressed"
1787,NsiI.TP753743,PF04852,"PTHR31165,PTHR31165:SF6",,,,,AT1G07090,LSH6,Protein of unknown function (DUF640),LOC_Os01g61310,NA,"DUF640 domain containing protein, putative, expressed"
1788,NsiI.TP755117,PF00293,"PTHR11839,PTHR11839:SF13",,3.6.1.17,,GO:0016787,AT3G10620,"ATNUDX26,NUDX26",nudix hydrolase homolog 26,LOC_Os04g58900,NA,"hydrolase, NUDIX family, domain containing protein, expressed"
1789,NsiI.TP755117,,,,,,,,,,,NA,
1790,NsiI.TP755117,"PF00560,PF08263,PF07714","PTHR27001,PTHR27001:SF109",KOG1187,2.7.11.1,,"GO:0005515,GO:0006468,GO:0004672",AT1G66150,TMK1,transmembrane kinase 1,LOC_Os04g58910,NA,"receptor protein kinase TMK1 precursor, putative, expressed"
1791,NsiI.TP755634,"PF12142,PF00264,PF12143","PTHR11474,PTHR11474:SF35",,1.10.3.1,K00422,"GO:0055114,GO:0004097,GO:0016491,GO:0008152",,,,LOC_Os01g58100,NA,"polyphenol oxidase, putative, expressed"
1793,NsiI.TP755634,PF04525,"PTHR31087,PTHR31087:SF2",,,,,AT3G15810,,Protein of unknown function (DUF567),LOC_Os01g56450,NA,"DUF567 domain containing protein, putative, expressed"
1794,NsiI.TP755634,PF02330,"PTHR31365,PTHR31365:SF2",,,,GO:0005759,AT4G32605,,Mitochondrial glycoprotein family protein,LOC_Os01g56460,NA,"mitochondrial glycoprotein, putative, expressed"
1796,NsiI.TP75624,PF10213,PTHR13490,,,K17413,,AT3G18240,,"Ribosomal protein S24/S35, mitochondrial",LOC_Os08g40230,NA,expressed protein
1799,NsiI.TP75624,"PF00270,PF02170,PF00271,PF03368,PF00636","PTHR14950,PTHR14950:SF21",KOG0701,3.1.26.3,K11592,"GO:0005524,GO:0003676,GO:0005515,GO:0016891,GO:0006396,GO:0004525,GO:0003723",AT3G43920,"ATDCL3,DCL3",dicer-like 3,LOC_Os01g68120,NA,"DCL3, putative, expressed"
1800,NsiI.TP756830,PF00249,"PTHR10641,PTHR10641:SF549",KOG0048,,K09422,,AT3G49690,"ATMYB84,MYB84,RAX3",myb domain protein 84,LOC_Os01g49160,NA,"MYB family transcription factor, putative, expressed"
1801,NsiI.TP756830,PF01554,"PTHR11206,PTHR11206:SF139",KOG1347,,K03327,"GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855",AT1G71140,,MATE efflux family protein,LOC_Os01g49120,NA,"MATE efflux family protein, putative, expressed"
1802,NsiI.TP756830,"PF07522,PF04675,PF01068","PTHR23240,PTHR23240:SF12",,6.5.1.1,,"GO:0006310,GO:0006281,GO:0003910,GO:0003677,GO:0005524",AT1G66730,"AtLIG6,LIG6",DNA LIGASE 6,LOC_Os01g49180,NA,"ATP dependent DNA ligase family protein, putative, expressed"
1807,NsiI.TP756994,PF00687,"PTHR23105,PTHR23105:SF55",KOG1570,,K02865,,AT1G08360,,Ribosomal protein L1p/L10e family,LOC_Os02g21660,NA,"L1P family of ribosomal proteins domain containing protein, expressed"
1808,NsiI.TP756994,PF00704,PTHR11177,,3.2.1.14,K01183,"GO:0005975,GO:0004553",AT5G24090,"ATCHIA,CHIA",chitinase A,LOC_Os01g64100,NA,"glycosyl hydrolase, putative, expressed"
1809,NsiI.TP756994,PF00704,PTHR11177,,3.2.1.14,K01183,"GO:0005975,GO:0004553",AT5G24090,"ATCHIA,CHIA",chitinase A,LOC_Os01g64100,NA,"glycosyl hydrolase, putative, expressed"
1810,NsiI.TP756994,PF12937,PTHR32212,,,,GO:0005515,AT1G67190,,F-box/RNI-like superfamily protein,LOC_Os01g64030,NA,"OsFBL5 - F-box domain and LRR containing protein, expressed"
1812,NsiI.TP756994,PF00704,PTHR11177,,3.2.1.14,K01183,"GO:0005975,GO:0004553",AT5G24090,"ATCHIA,CHIA",chitinase A,LOC_Os01g64100,NA,"glycosyl hydrolase, putative, expressed"
1813,NsiI.TP757015,PF04504,"PTHR31662,PTHR31662:SF4",,,,,AT3G04930,,DNA-binding storekeeper protein-related transcriptional regulator,LOC_Os03g25430,NA,"transcription regulator, putative, expressed"
1815,NsiI.TP757015,"PF00271,PF00176",PTHR10799,KOG1000,2.7.11.17,K14440,GO:0005524,AT1G48310,"CHA18,CHR18",chromatin remodeling factor18,LOC_Os07g44210,NA,"SNF2 family N-terminal domain containing protein, expressed"
1816,NsiI.TP757015,PF01248,PTHR21596,KOG3387,,,,AT4G01790,,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,LOC_Os07g44230,NA,"ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein, putative, expressed"
1818,NsiI.TP757835,,,,,,,,,,,NA,
1819,NsiI.TP757835,PF00892,"PTHR12715,PTHR12715:SF8",,,,"GO:0016021,GO:0016020",,,,LOC_Os03g49940,NA,"integral membrane protein, putative, expressed"
1820,NsiI.TP761443,PF13445,"PTHR13139,PTHR13139:SF47",,,,,AT3G29270,,RING/U-box superfamily protein,LOC_Os03g31320,NA,"RING zinc finger protein-like, putative, expressed"
1822,NsiI.TP761443,"PF04564,PF10408","PTHR13931,PTHR13931:SF2",,6.3.2.19,K10597,"GO:0016567,GO:0004842,GO:0034450,GO:0006511,GO:0000151",AT5G15400,,U-box domain-containing protein,LOC_Os03g31400,NA,"U-box domain-containing protein, putative, expressed"
1823,NsiI.TP762015,"PF03127,PF00790","PTHR13856,PTHR13856:SF81",,,,"GO:0006886,GO:0005622",AT5G63640,,ENTH/VHS/GAT family protein,LOC_Os08g01740,NA,"VHS and GAT domain containing protein, expressed"
1825,NsiI.TP762015,PF02383,"PTHR11200,PTHR11200:SF136",,,,GO:0042578,AT1G22620,ATSAC1,Phosphoinositide phosphatase family protein,LOC_Os08g01750,NA,"SAC domain containing protein, putative, expressed"
1826,NsiI.TP762015,,"PTHR31827,PTHR31827:SF2",,,,,AT5G64550,,loricrin-related,LOC_Os06g27830,NA,expressed protein
1828,NsiI.TP765685,"PF03330,PF01357","PTHR31692,PTHR31692:SF8",,,,,AT2G45110,"ATEXPB4,ATHEXP BETA 1.1,EXPB4",expansin B4,LOC_Os02g44108,NA,"expansin precursor, putative, expressed"
1829,NsiI.TP766568,,,,,,,,,,,NA,
1830,NsiI.TP766568,"PF01386,PF14693","PTHR33284,PTHR33284:SF2",,,K02897,"GO:0008097,GO:0006412,GO:0005840,GO:0003735",AT5G66860,,"Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain",LOC_Os03g41612,NA,"ribosomal protein L25, putative, expressed"
1832,NsiI.TP766568,PF03195,"PTHR31301,PTHR31301:SF9",,,,,AT5G66870,"ASL1,LBD36",ASYMMETRIC LEAVES 2-like 1,LOC_Os03g41600,NA,"DUF260 domain containing protein, putative, expressed"
1834,NsiI.TP767912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,NsiI.TP772099,,,,,,,,,,,NA,
1839,NsiI.TP772099,"PF02736,PF00612,PF01843,PF00063","PTHR13140,PTHR13140:SF435",,3.6.4.1,K10357,"GO:0016459,GO:0005524,GO:0003774,GO:0005515",AT5G20490,"ATXIK,XI-17,XIK",Myosin family protein with Dil domain,LOC_Os03g48140,NA,"myosin, putative, expressed"
1840,NsiI.TP772099,PF00481,"PTHR13832,PTHR13832:SF286",KOG0698,3.1.3.16,,"GO:0003824,GO:0006470,GO:0004722",AT1G16220,,Protein phosphatase 2C family protein,LOC_Os04g25570,NA,"protein phosphatase 2C, putative, expressed"
1841,NsiI.TP773756,PF13041,"PTHR24015,PTHR24015:SF358",,,,,AT1G09900,,Pentatricopeptide repeat (PPR-like) superfamily protein,LOC_Os02g35750,NA,"pentatricopeptide repeat domain containing protein, putative, expressed"
1844,NsiI.TP773756,PF03358,"PTHR30546,PTHR30546:SF4",KOG3135,1.6.5.2,K03809,GO:0016491,AT5G54500,FQR1,flavodoxin-like quinone reductase 1,LOC_Os05g42190,NA,"NADPH-dependent FMN reductase domain containing protein, expressed"
1845,NsiI.TP773756,,PTHR36721,,,,,,,,,NA,
1846,NsiI.TP773756,PF07714,"PTHR27001,PTHR27001:SF163",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT2G41970,,Protein kinase superfamily protein,LOC_Os02g35760,NA,"STRUBBELIG-RECEPTOR FAMILY 7 precursor, putative, expressed"
1848,NsiI.TP7764,PF01081,"PTHR30246,PTHR30246:SF1",,"4.1.2.14,4.1.3.16",,"GO:0016829,GO:0008152",,,,LOC_Os07g12160,NA,"KHG/KDPG aldolase, putative, expressed"
1849,NsiI.TP7764,"PF01535,PF13812","PTHR24015,PTHR24015:SF758",,,,,AT1G80270,PPR596,PENTATRICOPEPTIDE REPEAT 596,LOC_Os07g12140,NA,"PPR repeat domain containing protein, putative, expressed"
1850,NsiI.TP7764,,,,,,,,,,LOC_Os08g20230,NA,hypothetical protein
1851,NsiI.TP7764,PF00550,"PTHR20863,PTHR20863:SF5",KOG1748,,K03955,,AT2G44620,"MTACP-1,MTACP1",mitochondrial acyl carrier protein 1,LOC_Os07g12150,NA,"acyl carrier protein, putative, expressed"
1852,NsiI.TP7764,"PF01399,PF09440",PTHR10317,,,K03250,"GO:0005515,GO:0005852,GO:0005737,GO:0003743",AT3G57290,"ATEIF3E-1,ATINT6,EIF3E,INT-6,INT6,TIF3E1",eukaryotic translation initiation factor 3E,LOC_Os07g12110,NA,"eukaryotic translation initiation factor 3 subunit E, putative, expressed"
1854,NsiI.TP777037,PF01535,"PTHR24015,PTHR24015:SF462",,,,,AT1G26900,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os08g38610,NA,"pentatricopeptide, putative, expressed"
1855,NsiI.TP777037,,,,,,,,,,LOC_Os07g43480,NA,expressed protein
1856,NsiI.TP777037,"PF00163,PF01479","PTHR11831,PTHR11831:SF11",KOG3301,,K02997,"GO:0019843,GO:0005622,GO:0003723",AT5G39850,,Ribosomal protein S4,LOC_Os03g05980,NA,"40S ribosomal protein S9-2, putative, expressed"
1857,NsiI.TP777037,,,,,,,,,,LOC_Os02g53440,NA,expressed protein
1858,NsiI.TP777037,,,,,,,,,,LOC_Os07g43480,NA,expressed protein
1859,NsiI.TP777037,"PF00163,PF01479","PTHR11831,PTHR11831:SF11",KOG3301,,K02997,"GO:0019843,GO:0005622,GO:0003723",AT5G39850,,Ribosomal protein S4,LOC_Os11g38959,NA,"40S ribosomal protein S9-2, putative, expressed"
1861,NsiI.TP777241,,"PTHR34280,PTHR34280:SF2",,,,,AT3G27210,,,LOC_Os01g69100,NA,expressed protein
1862,NsiI.TP777241,PF03602,"PTHR11061,PTHR11061:SF29",,"2.1.1.190,2.1.1.189",,"GO:0031167,GO:0008168",AT3G27180,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,LOC_Os01g69120,NA,"uncharacterized RNA methyltransferase pc1998, putative, expressed"
1865,NsiI.TP777241,PF10163,"PTHR12514,PTHR12514:SF1",KOG4479,,K11368,,AT3G27100,,,LOC_Os01g69110,NA,expressed protein
1866,NsiI.TP777241,"PF01926,PF02212,PF01031","PTHR11566,PTHR11566:SF75",,3.6.5.5,K17065,"GO:0005525,GO:0003924",AT4G33650,"ADL2,DRP3A",dynamin-related protein 3A,LOC_Os01g69130,NA,"dynamin family protein, putative, expressed"
1868,NsiI.TP783302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NsiI.TP783302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NsiI.TP783302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,NsiI.TP783302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,NsiI.TP783302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NsiI.TP783302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NsiI.TP783625,,,,,,,,,,LOC_Os10g06690,NA,expressed protein
1875,NsiI.TP783625,,,,,,,AT3G21850,"ASK9,SK9",SKP1-like 9,LOC_Os10g06690,NA,expressed protein
1876,NsiI.TP783625,,,,,,,,,,,NA,
1881,NsiI.TP789014,,,,,,,,,,,NA,
1888,NsiI.TP797433,,,,,,,,,,,NA,
1889,NsiI.TP797433,PF00646,"PTHR32212,PTHR32212:SF74",,,,GO:0005515,AT5G56420,,F-box/RNI-like/FBD-like domains-containing protein,LOC_Os11g32810,NA,"Leucine Rich Repeat family protein, expressed"
1891,NsiI.TP797433,PF00175,"PTHR19384,PTHR19384:SF78",,1.18.1.2,K02641,"GO:0055114,GO:0016491",AT1G30510,"ATRFNR2,RFNR2",root FNR 2,LOC_Os07g05400,NA,"ferredoxin--NADP reductase, chloroplast precursor, putative, expressed"
1893,NsiI.TP797433,PF04078,"PTHR12262,PTHR12262:SF0",KOG3036,,K12606,"GO:0030014,GO:0006402",AT3G20800,,"Cell differentiation, Rcd1-like protein",LOC_Os03g57130,NA,expressed protein
1898,NsiI.TP808101,PF01399,PTHR10539,KOG2908,,K03039,GO:0005515,AT4G19006,,Proteasome component (PCI) domain protein,LOC_Os01g32800,NA,"proteasome subunit, putative, expressed"
1900,NsiI.TP808101,"PF13041,PF01535,PF13812","PTHR24015:SF466,PTHR24015",,,,,AT1G16830,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os10g42760,NA,"PPR repeat domain containing protein, putative, expressed"
1901,NsiI.TP808101,"PF13632,PF14570","PTHR13301,PTHR13301:SF35",,2.4.2.24,,,AT3G03050,"ATCSLD3,CSLD3,KJK",cellulose synthase-like D3,LOC_Os10g42750,NA,"CSLD1 - cellulose synthase-like family D, expressed"
1902,NsiI.TP808101,"PF03127,PF00790","PTHR13856,PTHR13856:SF93",KOG1087,,,"GO:0006886,GO:0005622",AT5G16880,,Target of Myb protein 1,LOC_Os10g42724,NA,"VHS and GAT domain containing protein, expressed"
1904,NsiI.TP810192,PF00856,"PTHR22884,PTHR22884:SF353",,2.1.1.43,,GO:0005515,AT5G42400,"ATXR7,SDG25",SET domain protein 25,LOC_Os12g41900,NA,"SET domain containing protein, expressed"
1907,NsiI.TP811743,"PF00636,PF00035","PTHR14950,PTHR14950:SF22",,3.1.26.3,,"GO:0006396,GO:0004525,GO:0003723",AT3G20420,"ATRTL2,RTL2",RNAse THREE-like protein 2,LOC_Os05g18850,NA,"endoribonuclease Dicer, putative, expressed"
1913,NsiI.TP814761,,,,,,,,,,LOC_Os05g11610,NA,expressed protein
1914,NsiI.TP814761,PF00237,PTHR11593,KOG3353,,K02880,"GO:0006412,GO:0005840,GO:0003735,GO:0015934",AT1G27400,,Ribosomal protein L22p/L17e family protein,LOC_Os09g08430,NA,"ribosomal protein L22, putative, expressed"
1915,NsiI.TP817028,"PF02362,PF06507","PTHR31384,PTHR31384:SF31",,,K14486,"GO:0003677,GO:0009725,GO:0006355,GO:0005634",AT2G33860,"ARF3,ETT",Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related,LOC_Os01g48060,NA,"auxin response factor, putative, expressed"
1917,NsiI.TP817028,PF02365,"PTHR31079,PTHR31079:SF6",,,,"GO:0006355,GO:0003677",AT4G28500,"ANAC073,NAC073,SND2",NAC domain containing protein 73,LOC_Os01g48130,NA,"no apical meristem protein, putative, expressed"
1921,NsiI.TP821811,PF00931,"PTHR23155,PTHR23155:SF425",KOG4658,,,GO:0043531,AT3G14470,,NB-ARC domain-containing disease resistance protein,LOC_Os02g30150,NA,"disease resistance protein, putative, expressed"
1922,NsiI.TP821811,"PF00627,PF09409","PTHR13020,PTHR13020:SF34",KOG2699,,,,AT1G04850,,ubiquitin-associated (UBA)/TS-N domain-containing protein,LOC_Os02g30180,NA,"ZOS2-07 - C2H2 zinc finger protein, expressed"
1923,NsiI.TP821811,PF03405,"PTHR31155,PTHR31155:SF8",,1.14.19.2,K03921,"GO:0055114,GO:0045300,GO:0006631",AT2G43710,"FAB2,SSI2",Plant stearoyl-acyl-carrier-protein desaturase family protein,LOC_Os04g31070,NA,"acyl-desaturase, chloroplast precursor, putative, expressed"
1924,NsiI.TP821811,PF01344,"PTHR24412,PTHR24412:SF0",,,,GO:0005515,AT1G67480,,Galactose oxidase/kelch repeat superfamily protein,LOC_Os02g30210,NA,"OsFBK7 - F-box domain and kelch repeat containing protein, expressed"
1925,NsiI.TP821811,,,,,,,,,,,NA,
1927,NsiI.TP823356,"PF00643,PF06203","PTHR31319,PTHR31319:SF8",KOG1601,,,"GO:0008270,GO:0005622,GO:0005515",AT5G57660,"ATCOL5,COL5",CONSTANS-like 5,LOC_Os04g42020,NA,"CCT/B-box zinc finger protein, putative, expressed"
1928,NsiI.TP823356,,"PTHR37911,PTHR37911:SF1",,,,,AT3G14900,,,LOC_Os04g42030,NA,expressed protein
1929,NsiI.TP823356,"PF08458,PF05703","PTHR31351,PTHR31351:SF3",,,,,AT5G57770,,Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region,LOC_Os04g42040,NA,expressed protein
1933,NsiI.TP823356,"PF14259,PF05383,PF08777","PTHR22792,PTHR22792:SF64",KOG4213,,K11090,GO:0003723,AT4G32720,"AtLa1,La1",La protein 1,LOC_Os04g42010,NA,"RNA binding protein, putative, expressed"
1934,NsiI.TP825923,PF11955,"PTHR31476,PTHR31476:SF10",,,,,AT3G58520,,Ubiquitin carboxyl-terminal hydrolase family protein,LOC_Os04g46170,NA,"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
